roi reine homme femme
chat chaton chien chiot
fou folle bon bonne
mère père fils fille
tante oncle neuveu nièce
Roi Reine Prince Princesse
Roi Empereur Reine Impératrice
Mère Grand-mère Fils Petit-fils
Cousin Cousine frère soeur
Mère Maternelle Père Paternel
Tante Marraine Oncle Parrain
policier policière pharmacien pharmacienne
boulanger boulangère factrice facteur
facteur factrice routier routière
professeur professeure jardinier Jardinière
Lion Lionne Cheval Jument
Acteur Actrice Chanteur Chanteuse
Écrivain Écrivaine Docteur Doctoresse
Danseur Danseuse Cuisinier Cuisinière
Aviateur Aviatrice Comédien Comédienne
Coiffeur Coiffeuse Électricien Électricienne
Plombier Plombière Ingénieur Ingénieure
Gardien Gardienne Agriculteur Agricultrice
Chauffeur Chauffeuse Mécanicien Mécanicienne
Serveur Serveuse Musicien Musicienne
Comte Comtesse Duc Duchesse
Baron Baronne Vicomte Vicomtesse
Héros Héroïne Vengeur Vengeresse
Magicien Magicienne Sorcier Sorcière
Dieu Déesse Démon Démonesse
Veuf Veuve Fiancé Fiancée
Ami Amie Ennemi Ennemie
Poète Poétesse Sculpteur Sculptrice
Peintre Peintresse Artisan Artisane
Tailleur Tailleuse Menuisier Menuisière
Boucher Bouchère Couturier Couturière
Forgeron Forgeronne Maçon Maçonne
Pâtissier Pâtissière Fromager Fromagère
Boulanger Boulangère Photographe Photographe
Bijoutier Bijoutière Horloger Horlogère
Tapissier Tapissière Maroquinier Maroquinière
Charcutier Charcutière Brasseur Brasseuse
Fermier Fermière Viticulteur Viticultrice
Acteur Actrice Réalisateur Réalisatrice
Jardinier Jardinière Fleuriste Fleuriste
Boucher Bouchère Charcutier Charcutière
Musicien Musicienne Compositeur Compositrice
Écrivain Écrivaine Auteur Auteure
Joueur joueuse menteur menteuse
beau belle moche moche
